SerieGenreID;SerieID;GenreID
1;1;11
2;1;2
3;1;4
4;2;6
5;2;4
6;2;19
7;3;2
8;3;9
9;3;17
10;4;6
11;4;4
12;4;19
13;5;11
14;5;4
15;6;10
16;6;12
17;6;1
18;7;10
19;7;12
20;7;1
21;8;11
22;8;2
23;8;9
24;9;6
25;9;4
26;9;19
27;10;11
28;10;2
29;11;4
30;11;2
31;12;3
32;12;2
33;13;3
34;13;7
35;14;11
36;14;19
37;15;11
38;15;2
39;15;17
40;16;11
41;16;4
42;17;6
43;17;4
44;18;6
45;18;1
46;18;12
47;19;9
48;19;17
49;20;18
50;20;17
51;21;6
52;21;1
53;22;2
54;22;11
55;23;1
56;23;20
57;24;2
58;24;4
59;25;2
60;26;11
61;26;2
62;27;11
63;27;2
64;28;11
65;28;19
66;29;11
67;29;3
68;30;6
69;30;2
70;31;7
71;31;2
72;32;3
73;32;7
74;33;6
75;33;1
76;38;4
77;38;11
78;40;11
79;40;2
80;41;4
81;41;11
82;42;11
83;42;4
84;43;1
85;43;11
86;44;1
87;44;4
88;45;6
89;45;19
90;46;5
91;46;1
92;47;12
93;47;17
94;48;7
95;48;17
96;49;17
97;49;2
